,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0050356388092041016,0.0007361651513190123,0.005351591110229492,0.000504850120160136,gini,2,2,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
1,0.004429244995117187,9.834153416344655e-05,0.005046224594116211,0.000280139318414342,gini,2,2,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
2,0.004381895065307617,0.00012358318439965697,0.005020713806152344,0.00014629093575495793,gini,2,2,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
3,0.004390859603881836,7.610022268907754e-05,0.004844474792480469,5.627676503521016e-05,gini,2,2,15,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 15}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
4,0.004495573043823242,0.00015551336099241923,0.004945707321166992,0.00013137009960821248,gini,2,2,50,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 50}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
5,0.004345941543579102,7.145932626434255e-05,0.004828548431396485,6.605762681140026e-05,gini,2,2,100,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 100}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
6,0.004490089416503906,0.00012159398022715148,0.005028486251831055,0.00010639507563218812,gini,2,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
7,0.004516172409057617,0.00021679543903007902,0.004962301254272461,0.00010911495020905551,gini,2,5,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
8,0.004687118530273438,0.00034159694805163557,0.005181550979614258,0.00042833485946810025,gini,2,5,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
9,0.00438394546508789,6.627326350967146e-05,0.005215167999267578,0.0006069872379152673,gini,2,5,15,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 15}",0.7678571428571429,0.8571428571428571,0.625,0.6909090909090909,0.7090909090909091,0.73,0.07821605799828248,224
